nodeNaam1,nodeNaam2,begintijd,eindtijd
115,655,20240110170701,20240110235300
251,282,20240327162829,20240327174541
105,755,20240919191746,20240920020316
559,914,20240203181943,20240203234312
33,433,20240112134348,20240112143558
224,239,20240715061509,20240715114455
28,575,20240318051804,20240318115006
666,719,20240730151321,20240730190327
226,460,20240816202115,20240816225410
829,891,20240103123422,20240103192946
164,826,20240928030750,20240928065938
285,349,20240301091026,20240301110901
782,981,20240510171718,20240510181407
95,390,20240207132743,20240207164446
353,868,20240822110804,20240822133331
45,827,20241010093535,20241010134729
128,550,20241224042457,20241224075240
81,566,20240423203710,20240424041107
634,644,20241209210030,20241210045206
371,592,20240315161534,20240315224121
47,72,20240913192515,20240913213042
297,792,20240131234254,20240201073101
239,888,20240209052405,20240209085240
285,465,20240903210030,20240904043702
167,374,20240523182012,20240523213513
215,687,20240413162449,20240413224906
700,960,20240908160739,20240908164738
624,651,20240307110740,20240307160022
251,747,20240304110117,20240304151444
277,389,20241225091615,20241225150646
571,705,20240326065742,20240326131235
333,864,20241025091205,20241025161652
58,235,20241115034519,20241115040350
324,825,20240604190736,20240604213449
68,217,20241220150243,20241220201328
736,898,20240502050037,20240502065744
512,672,20240602153323,20240602212527
147,470,20240412205143,20240412220858
253,763,20240806001948,20240806051509
270,765,20240815004410,20240815043908
598,920,20240604024057,20240604055938
142,225,20240716210745,20240717013816
94,774,20240119070923,20240119150039
113,157,20240831161315,20240831174137
697,812,20240612224857,20240613041540
66,395,20240528045658,20240528102324
480,542,20240407152057,20240407202405
882,966,20240105110039,20240105171310
118,739,20240921180004,20240921225419
274,769,20241025115133,20241025174236
115,349,20240423233710,20240424033536
162,465,20240102061454,20240102125015
737,897,20240412065749,20240412113212
183,781,20240716035610,20240716045516
641,892,20240425214225,20240426052304
520,655,20240824120049,20240824135026
157,383,20241023030656,20241023043609
553,977,20241029091929,20241029141007
1,941,20240820143405,20240820173206
20,501,20240213104057,20240213140011
852,900,20241109074110,20241109103006
60,246,20240403130509,20240403181600
81,970,20240203062052,20240203130135
498,836,20240127210626,20240128040249
546,785,20240218201022,20240218212129
487,676,20240801123227,20240801140337
272,541,20241204193955,20241205011211
434,988,20240323060608,20240323110139
748,774,20240924220156,20240924235247
320,731,20240603225239,20240604050028
383,666,20240619032319,20240619080658
124,463,20240406063852,20240406084234
66,347,20240109040312,20240109092529
236,568,20240816123933,20240816144049
8,73,20241001213320,20241002031859
61,235,20240127041259,20240127043108
339,881,20240128122618,20240128170805
244,286,20240916191929,20240916234535
220,553,20240221091408,20240221155010
904,958,20240809183026,20240809234607
249,485,20241031171059,20241031213017
417,827,20240314224456,20240314233726
100,675,20240616094117,20240616125546
421,434,20240630085907,20240630165153
56,747,20240918121244,20240918181036
101,662,20240124125703,20240124163756
348,746,20241106220346,20241107055521
112,255,20240315094456,20240315112948
460,550,20240224103537,20240224142701
188,286,20240628160022,20240628181747
896,946,20240130063817,20240130104117
828,883,20241128101122,20241128151255
52,101,20240910062551,20240910112204
16,857,20240206051619,20240206120851
243,870,20240305140754,20240305175051
493,498,20240324001609,20240324080921
411,925,20240123183117,20240123200211
3,389,20240531145940,20240531172530
803,949,20241031215609,20241101020538
293,434,20240927124212,20240927192209
570,803,20240914010515,20240914073835
159,499,20240314175835,20240314204137
223,992,20240123170613,20240123222331
556,754,20240124160956,20240124225925
59,322,20240120112137,20240120164139
489,515,20241223011832,20241223090513
162,544,20240123020921,20240123064741
83,872,20240313040051,20240313043916
70,610,20240919052613,20240919131753
241,414,20240216132527,20240216183734
253,593,20240818211912,20240818214154
84,635,20240611192733,20240612012733
579,598,20240722004117,20240722033503
268,958,20240320075001,20240320135646
322,734,20240402164251,20240402190854
135,406,20240917203623,20240918022954
308,469,20240502185906,20240503015043
75,959,20240104144934,20240104190051
577,637,20240208195334,20240208203434
219,551,20240715111113,20240715133703
136,956,20240515125953,20240515133827
251,901,20240523121431,20240523145109
162,449,20241119190358,20241120000138
